Anime,Genres,Status,Rating
Dog Days,Fantasy,=Completed=,Fav
Himegoto,Trap,=Completed=,6
Bakemonogatari,Intelectual ,+On Hold+,7
Sankarea,"Zombie, Romance",+On Hold+,7
Gakkou Gurashi,"Zombie, Horror, School, Loli",=Completed=,8
Vandread,"action, ecchi, mecha, sci-fi, shounen, space",=Completed=,7
Fruits Basket,"comedy, drama, fantasy, romance, shoujo, slice of life",=Completed=,6
Hikaru no Go,"comedy, game, shounen, supernatural",+On Hold+,7
Chobits,"comedy, drama, ecchi, romance, sci-fi, seinen",+On Hold+,7
.hack//Sign,"adventure, fantasy, game, magic, mystery, sci-fi",=Completed=,8
Tokyo Mew Mew,"adventure, comedy, fantasy, magic, romance, sci-fi, shoujo",dropped,5
Rizelmine,"comedy, ecchi, romance, school, sci-fi",-Not Seen-,7
.hack//Tasogare no Udewa Densetsu,"adventure, comedy, fantasy, game, sci-fi, shounen",=Completed=,9
