boruma,"[34397, 50, 10]",12,1505,Standings.Veteran()
deathbatkill,"[28815, 10, 5]",11,1054,Standings.Newbie()
maerthyu,"[1378, 10, 5]",9,741,Standings.Newbie()
unsightedwizard,"[1440, 10, 5]",5,181,Standings.Newbie()
wegh4679,"[3895, 10, 5]",7,499,Standings.Newbie()
nolicanoli10,"[2695, 10, 5]",8,605,Standings.Newbie()
lobofps,"[160, 10, 5]",2,35,Standings.Newbie()
pots_,"[1441, 10, 5]",7,374,Standings.Newbie()
eyepatch0325,"[735, 10, 5]",4,147,Standings.Newbie()
javioyt,"[480, 10, 5]",3,96,Standings.Newbie()
riyzoh,"[310, 10, 5]",2,55,Standings.Newbie()
divinecoke,"[485, 10, 5]",3,91,Standings.Newbie()
protoxider,"[850, 10, 5]",5,218,Standings.Newbie()
edhfednbd,"[45, 10, 5]",1,11,Standings.Newbie()
shuruni,"[739, 10, 5]",10,974,Standings.Veteran()
testbot5,"[815, 10, 5]",5,238,Standings.Newbie()
a_forest_ganker,"[5, 10, 5]",0,1,Standings.Newbie()
jtrieu089,"[675, 10, 5]",4,150,Standings.Newbie()
shadowdrake77,"[702, 10, 5]",6,271,Standings.Newbie()
hikikono,"[145, 10, 5]",1,11,Standings.Newbie()
mcrocks10924,"[60, 10, 5]",1,12,Standings.Newbie()
khrymzon,"[545, 10, 5]",3,112,Standings.Newbie()
lonins5,"[725, 10, 5]",2,45,Standings.Newbie()
thelonelynep,"[955, 10, 5]",4,147,Standings.Newbie()
thefanboy902,"[615, 10, 5]",1,28,Standings.Newbie()
sharkscape,"[615, 10, 5]",1,10,Standings.Newbie()
laughten_,"[670, 10, 5]",1,11,Standings.Newbie()
lunar_siblings,"[475, 10, 5]",3,91,Standings.Newbie()
yoyoboy888,"[95, 10, 5]",0,4,Standings.Newbie()
xxlink99xx,"[95, 10, 5]",0,2,Standings.Newbie()
isaboo101,"[170, 10, 5]",2,34,Standings.Newbie()
medinsoner,"[170, 10, 5]",1,11,Standings.Newbie()
m4rve1,"[0, 10, 5]",0,0,Standings.Newbie()
nabibot_,"[30, 10, 5]",0,7,Standings.Newbie()
marebot,"[0, 10, 5]",0,0,Standings.Newbie()
